label,person_id,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40
0,99,2.5980753898620605,2.601080894470215,2.6727373600006104,2.275843858718872,2.4249541759490967,2.2988369464874268,2.3606066703796387,1.6785534620285034,2.141519546508789,2.3957672119140625,2.5035455226898193,2.4714627265930176,2.5072977542877197,2.4104177951812744,2.2256791591644287,2.194385290145874,1.976967453956604,2.242560625076294,2.7003979682922363,2.7470290660858154,2.8074374198913574,2.6027917861938477,2.707643747329712,2.4622204303741455,2.5105063915252686,2.077430248260498,2.4749507904052734,2.567331314086914,2.708083152770996,2.6751179695129395,2.867009401321411,2.7644155025482178,2.4645838737487793,2.4302375316619873,2.4331018924713135,2.4954588413238525,1.542396903038025,1.3931093215942383,1.6083277463912964,-0.30625319480895996,-0.634384274482727
0,99,2.5668299198150635,2.620624542236328,2.67812442779541,2.4489707946777344,2.5683107376098633,2.3096375465393066,2.356687307357788,1.9100689888000488,2.3081297874450684,2.527691125869751,2.6618242263793945,2.617527723312378,2.6811416149139404,2.599299192428589,2.363499641418457,2.329322099685669,2.1400980949401855,2.405456304550171,2.7761483192443848,2.8710074424743652,2.9192161560058594,2.8672831058502197,2.963301420211792,2.5873873233795166,2.626493215560913,2.404916286468506,2.6642868518829346,2.742039203643799,2.9057536125183105,2.8660295009613037,3.0748214721679688,3.0066494941711426,2.6447505950927734,2.6152806282043457,2.6360061168670654,2.678323268890381,1.4020692110061646,1.5064042806625366,1.717682123184204,-0.5119919776916504,-0.6691432595252991
0,99,2.5330915451049805,2.592590093612671,2.647745370864868,2.435525894165039,2.550527572631836,2.279235363006592,2.324265956878662,1.9120889902114868,2.2953994274139404,2.453723430633545,2.6000514030456543,2.554027795791626,2.6780216693878174,2.595151901245117,2.3102059364318848,2.276083469390869,2.1998372077941895,2.3525285720825195,2.7251100540161133,2.8253912925720215,2.87148118019104,2.837902307510376,2.9299466609954834,2.540923833847046,2.5782012939453125,2.3962996006011963,2.626901149749756,2.6732125282287598,2.8476688861846924,2.8069915771484375,3.0742669105529785,3.0058231353759766,2.5990548133850098,2.5700206756591797,2.6993303298950195,2.6014926433563232,1.4000869989395142,1.4946402311325073,1.7113454341888428,-0.5182541012763977,-0.6575483083724976
0,99,2.5171148777008057,2.566272497177124,2.6205711364746094,2.3837943077087402,2.4936904907226562,2.2568552494049072,2.3028745651245117,1.8431509733200073,2.2542762756347656,2.4285593032836914,2.5618038177490234,2.5161755084991455,2.600710391998291,2.508084297180176,2.270610809326172,2.2360682487487793,2.0923573970794678,2.3070805072784424,2.68615984916687,2.7768051624298096,2.8201632499694824,2.763716697692871,2.843890905380249,2.49330997467041,2.528960943222046,2.300342082977295,2.5791730880737305,2.6273598670959473,2.7901759147644043,2.7489800453186035,2.980058193206787,2.898237705230713,2.537201166152954,2.5059902667999268,2.573256015777588,2.563568115234375,1.3723409175872803,1.4582977294921875,1.6528033018112183,-0.47922733426094055,-0.6451524496078491
0,99,2.537107229232788,2.5731236934661865,2.6336166858673096,2.336205005645752,2.4573991298675537,2.2588822841644287,2.3098690509796143,1.771826982498169,2.2245404720306396,2.4406700134277344,2.56111478805542,2.52152156829834,2.5590717792510986,2.465632915496826,2.266500234603882,2.2336137294769287,2.0263772010803223,2.280505657196045,2.6815123558044434,2.758164405822754,2.808382272720337,2.688509225845337,2.777432680130005,2.4662725925445557,2.5065507888793945,2.197883367538452,2.5464975833892822,2.6208884716033936,2.7715981006622314,2.7355220317840576,2.919250726699829,2.833510637283325,2.511655807495117,2.480808973312378,2.4844131469726562,2.543443441390991,1.3975729942321777,1.4567989110946655,1.6198700666427612,-0.46276935935020447,-0.6679131984710693
0,99,2.5553412437438965,2.581669807434082,2.644665002822876,2.292760133743286,2.4202184677124023,2.259481906890869,2.3135826587677,1.6970775127410889,2.1794142723083496,2.431565046310425,2.5467467308044434,2.5123414993286133,2.5296003818511963,2.43847393989563,2.250131368637085,2.220118999481201,1.9906988143920898,2.26684832572937,2.6631338596343994,2.7303194999694824,2.7828891277313232,2.614816904067993,2.7050416469573975,2.4295871257781982,2.4718546867370605,2.098167896270752,2.490778923034668,2.5877530574798584,2.7340495586395264,2.7012860774993896,2.8728950023651123,2.7827353477478027,2.473723888397217,2.4432690143585205,2.4374682903289795,2.5142252445220947,1.3972358703613281,1.4317634105682373,1.627673625946045,-0.39906075596809387,-0.6409286856651306
0,99,2.679986000061035,2.6665873527526855,2.7321696281433105,2.2717888355255127,2.4169082641601562,2.3584234714508057,2.4155044555664062,1.6549454927444458,2.1421425342559814,2.359741449356079,2.484872341156006,2.440554618835449,2.590574264526367,2.4744954109191895,2.2286252975463867,2.1870992183685303,2.1950020790100098,2.2397754192352295,2.738067626953125,2.7684245109558105,2.824772596359253,2.559429407119751,2.6668648719787598,2.4750959873199463,2.5213780403137207,2.0302541255950928,2.455629587173462,2.5218324661254883,2.6780667304992676,2.635930299758911,2.935028553009033,2.822805166244507,2.4599292278289795,2.418896436691284,2.6377110481262207,2.441474437713623,1.7772300243377686,1.4517706632614136,1.5891711711883545,-0.2833627760410309,-0.6560640335083008
0,99,2.5061352252960205,2.5301029682159424,2.5944793224334717,2.3176779747009277,2.4459807872772217,2.229436159133911,2.283535957336426,1.810656189918518,2.188138723373413,2.244823932647705,2.4341468811035156,2.3726119995117188,2.845468759536743,2.708238124847412,2.2534804344177246,2.197702407836914,2.6718742847442627,2.0747227668762207,2.6540801525115967,2.7246129512786865,2.777384042739868,2.7031028270721436,2.7938506603240967,2.4504153728485107,2.491788387298584,2.2801339626312256,2.5158441066741943,2.505600929260254,2.714736223220825,2.6568219661712646,3.248183488845825,3.1170642375946045,2.5825107097625732,2.529622793197632,3.1572344303131104,2.189887523651123,2.055631399154663,1.4486740827560425,1.6048122644424438,-0.3619469404220581,-0.6983311772346497
0,99,2.7543399333953857,2.736475944519043,2.800736665725708,2.289764165878296,2.4387764930725098,2.4219677448272705,2.4802663326263428,1.631394624710083,2.1242499351501465,2.4150822162628174,2.5085737705230713,2.46759033203125,2.440595865249634,2.33650803565979,2.2204039096832275,2.1858413219451904,1.9313725233078003,2.194345712661743,2.797027349472046,2.8200039863586426,2.8754823207855225,2.5518743991851807,2.6639835834503174,2.51857852935791,2.566598892211914,1.9822227954864502,2.4495983123779297,2.530529499053955,2.657754898071289,2.617081880569458,2.754793882369995,2.6503634452819824,2.4035089015960693,2.3672537803649902,2.3568952083587646,2.4310343265533447,1.631235957145691,1.369027853012085,1.5840516090393066,-0.2693467438220978,-0.588290810585022
0,99,2.8433194160461426,2.819456100463867,2.8781580924987793,2.3073244094848633,2.4553163051605225,2.497398853302002,2.549777030944824,1.6082508563995361,2.1058907508850098,2.5159454345703125,2.596312999725342,2.55653977394104,2.455768585205078,2.3551814556121826,2.300074577331543,2.263068437576294,1.9060087203979492,2.217709541320801,2.8681070804595947,2.884150266647339,2.9340274333953857,2.5421018600463867,2.653271436691284,2.571179151535034,2.61301589012146,1.9274506568908691,2.431978225708008,2.590137004852295,2.7056264877319336,2.6655027866363525,2.731809616088867,2.62919282913208,2.4384706020355225,2.3989644050598145,2.2983787059783936,2.4480931758880615,1.6118961572647095,1.3615529537200928,1.612346887588501,-0.2796775698661804,-0.5888339281082153
